"# Dubai districts: registered sales and median prices 2026 - TEX & TEX Real Estate, computed from Dubai Land Department open data, generated 2026-09-26. Free to republish with attribution and a link to https://data.tex.ae"
area,sales,median_psf,median_price,offplan_share,total_value
NAD AL SHEBA GARDENS,96,1863,2029047,0.615,635752698
AL JADAF,96,1887,1250000,1.0,234817049
THE FIELD,95,1613,3750000,0.0,360262711
THE LAKES,89,2406,5800000,0.258,554969776
AL BARSHA FIRST,89,1800,2108530,0.775,222020697
JUMEIRAH GOLF,88,1694,3500000,0.011,565812105
ZAABEEL FIRST,87,2960,3812888,0.701,477427258
WADI AL SAFA 2,83,1346,1350860,0.759,310301293
AL ROWAIYAH FIRST,83,2813,4300650,1.0,385092815
AL KHAIL HEIGHTS,82,938,892500,0.0,103118992
LA MER,81,3017,3650000,0.222,901454590
ARABIAN RANCHES III,70,2102,3200000,0.0,228994163
THE VALLEY,69,1415,2910000,0.0,211434995
THE VILLA,68,988,6975000,0.0,536515388
ARABIAN RANCHES II,64,1402,6057500,0.0,397771894
NAD AL HAMAR,62,1026,1450000,0.355,166427922
MBR DISTRICT 7,61,1855,1225000,0.0,104948882
TILAL AL GHAF,60,2036,4325000,0.0,338948519
SERENA,60,1291,3025000,0.0,188567500
GHADEER AL TAIR,59,2024,14200000,0.0,1020693232
BLUEWATERS,57,5148,8900000,0.0,628635684
JUMEIRAH SECOND,56,9003,39935000,0.911,3341097225
HOR AL ANZ,55,904,2200000,0.0,179262969
MUHAISANAH FIRST,45,1331,2100000,0.0,112390385
AL WARSAN THIRD,45,260,1402000,0.0,66120000
AL RASHIDIYA,38,358,1800000,0.0,75035326
UM SUQAIM FIRST,36,6000,137584631,0.0,4374767195
JUMEIRAH LIVING,33,2659,3000000,0.0,132769922
ABU HAIL,27,617,1500000,0.0,54719710
AL KHEERAN,26,1343,2575000,0.0,78303317
