"# Dubai residential sales by month 2026 - TEX & TEX Real Estate, computed from Dubai Land Department open data, generated 2026-09-17. Free to republish with attribution and a link to https://data.tex.ae"
m,sales,median_psf,median_price,offplan_share
2026-01,16887,1802,1825888,0.661
2026-02,16245,1764,1636207,0.649
2026-03,12833,1757,1621651,0.736
2026-04,13656,1841,1672888,0.747
2026-05,10093,1645,1200000,0.735
2026-06,13519,1697,1158124,0.746
2026-07,13218,1691,1150000,0.713
2026-08,11373,1692,1200000,0.7
2026-09,5774,1670,1273182,0.692
