"# Dubai median prices by district, bedroom count and property type 2026 - TEX & TEX Real Estate, computed from Dubai Land Department open data, generated 2026-09-17. Free to republish with attribution and a link to https://data.tex.ae"
area,rooms,ptype,sales,median_psf,median_price,median_sqft
WADI AL SAFA 3,2 B/R,Unit,125,1679,2038956,1287
WADI AL SAFA 3,3 B/R,Building,90,2425,2067500,853
WADI AL SAFA 3,3 B/R,Unit,37,1341,3231900,2007
WADI AL SAFA 3,4 B/R,Building,76,3051,7942044,2263
WADI AL SAFA 3,5 B/R,Building,64,2839,13480000,4753
WADI AL SAFA 3,NA,Unit,7,2948,2668644,1064
WADI AL SAFA 3,Not specified,Land,132,1577,7775408,4758
WADI AL SAFA 3,Studio,Unit,9,763,454915,573
WADI AL SAFA 4,1 B/R,Unit,256,1885,1515500,806
WADI AL SAFA 4,2 B/R,Unit,278,1974,2900000,1450
WADI AL SAFA 4,3 B/R,Building,22,1435,4175000,3031
WADI AL SAFA 4,3 B/R,Unit,67,2017,5732000,2873
WADI AL SAFA 4,Studio,Unit,116,1818,597980,329
WADI AL SAFA 5,1 B/R,Unit,154,1644,1557166,904
WADI AL SAFA 5,2 B/R,Unit,136,1624,2380510,1462
WADI AL SAFA 5,3 B/R,Building,197,1677,3080000,1810
WADI AL SAFA 5,3 B/R,Unit,85,1503,3170000,2068
WADI AL SAFA 5,4 B/R,Building,158,1362,4050000,3014
WADI AL SAFA 5,5 B/R,Building,12,1357,6137500,4521
WADI AL SAFA 5,Not specified,Land,141,1394,7325000,4908
WADI AL SAFA 7,1 B/R,Building,41,1669,970000,569
WADI AL SAFA 7,1 B/R,Unit,20,1131,756500,614
WADI AL SAFA 7,2 B/R,Building,145,1267,1290980,947
WADI AL SAFA 7,2 B/R,Unit,6,950,849000,878
WADI AL SAFA 7,3 B/R,Building,14,1154,1849088,1608
WADI AL SAFA 7,4 B/R,Building,8,1448,1392822,948
WADI AL SAFA 7,Not specified,Land,49,1440,7750000,5167
WADI AL SAFA 7,Studio,Unit,20,1188,506500,423
WARSAN FIRST,1 B/R,Unit,94,1200,834050,683
WARSAN FIRST,2 B/R,Unit,14,1162,1302798,1116
WARSAN FIRST,NA,Unit,22,1544,1468444,901
WARSAN FIRST,Studio,Unit,195,1379,523700,380
ZAABEEL FIRST,1 B/R,Unit,29,3105,2683888,767
ZAABEEL FIRST,2 B/R,Unit,36,3406,4530888,1445
ZAABEEL FIRST,3 B/R,Unit,8,2490,4639888,1832
ZAABEEL SECOND,1 B/R,Unit,255,2839,2430000,873
ZAABEEL SECOND,2 B/R,Unit,282,3292,4526500,1331
ZAABEEL SECOND,3 B/R,Unit,95,3583,7717000,2127
ZAABEEL SECOND,4 B/R,Unit,10,3965,11073000,3749
