"# Dubai buildings by registered sales 2026 - TEX & TEX Real Estate, computed from Dubai Land Department open data, generated 2026-09-23. Free to republish with attribution and a link to https://data.tex.ae"
project,area,sales,median_psf,median_price,offplan_share
Reef 996,DUBAI PRODUCTION CITY,218,1644,782896,1.0
Sakura Gardens by HRE ,FALCON CITY OF WONDERS,217,1613,1307580,1.0
Verdana Residence 4 ,DUBAI INVESTMENT PARK FIRST,212,901,648225,1.0
Marquis One,ARJAN,211,1703,860400,1.0
South Garden E,JABAL ALI FIRST,211,1417,1526000,1.0
South Garden D,JABAL ALI FIRST,210,1486,1627500,1.0
SOL LEVANTE,JUMEIRAH VILLAGE TRIANGLE,210,1768,1351200,1.0
Binghatti Hillcrest,ARJAN,209,2234,898999,1.0
VERDE BY VISION ,DUBAI SPORTS CITY,208,1376,1189890,1.0
Stax,JUMEIRAH VILLAGE CIRCLE,207,1452,1012957,1.0
Project Maybach,BUSINESS PARK,203,3517,1388000,1.0
The Woods,AL YUFRAH 1,201,1875,1042046,1.0
Binghatti Aquarise,BUSINESS BAY,200,2586,2249499,1.0
Expo Valley Views,MADINAT AL MATAAR,199,1926,2579000,1.0
Nad Al Sheba Gardens Phase 11,NAD AL SHIBA FIRST,197,2333,7052000,0.513
SKY COURTS,DUBAI LAND RESIDENCE COMPLEX,196,723,613500,0.0
Taiyo Residences,JABAL ALI FIRST,195,1621,1043717,1.0
Palm Central Private Residences - Frond N,PALM JABAL ALI,195,3565,4361000,1.0
Sobha Central Phase I,DMCC-EZ2,195,2835,2697274,1.0
Palace Residences Hillside A,HADAEQ SHEIKH MOHAMMED BIN RASHID,194,2552,2576888,1.0
Azizi Grand,DUBAI SPORTS CITY,193,1348,831870,1.0
Linea by Holm,AL SATWA,192,2595,1533129,1.0
VOXA RESIDENCES,JUMEIRAH VILLAGE TRIANGLE,191,1949,1126902,1.0
Nourelle,UM SUQAIM THIRD,190,2790,3789500,1.0
"AYAMI RESIDENCE, BY AYAT DEVELOPMENT",WARSAN FIRST,190,1373,523700,1.0
Azizi Abraham,DOWN TOWN JABAL ALI,187,1549,552000,1.0
LIVING LEGENDS PHASE 5,LIVING LEGENDS,187,1431,640000,0.877
Boulevard Park 1,JABAL ALI FIRST,187,1733,2144000,1.0
Terra Gardens,MADINAT AL MATAAR,185,2097,2287888,1.0
AZIZI VENICE 2,MADINAT AL MATAAR,184,2005,711000,1.0
City Walk Crestlane 4,AL WASL,184,3369,3779000,1.0
AZIZI VENICE 5,MADINAT AL MATAAR,182,1661,640000,1.0
Azizi Milan 55,CITY OF ARABIA,182,1715,584000,1.0
South Square,MADINAT AL MATAAR,181,1510,1860794,1.0
Golf Fields,MADINAT AL MATAAR,181,1580,1605012,1.0
Hadley Heights 2,DUBAI SPORTS CITY,181,1316,1170063,1.0
Holm One,AL SATWA,180,2220,1070456,1.0
Waada - Altura 1,MADINAT AL MATAAR,180,1169,475000,1.0
IVY AT PARK FIVE,DUBAI PRODUCTION CITY,177,1457,1141321,1.0
Nuve By Zoya,DUBAI LAND RESIDENCE COMPLEX,176,1532,702550,1.0
Azizi Noura,JABAL ALI INDUSTRIAL SECOND,174,1722,593010,1.0
Arancia Yards 2 By Beyond,CITY OF ARABIA,172,1800,1346000,1.0
Peninsula Four,BUSINESS BAY,171,2516,2045000,0.76
DAMAC CITY 2,AL WASL,170,2982,2246000,1.0
Sobha Central Phase II,DMCC-EZ2,169,2965,2481095,1.0
Binghatti Luxuria,JUMEIRAH VILLAGE TRIANGLE,169,1940,1080000,1.0
Longford Residences by Devan Real Estate Development,INTERNATIONAL CITY PH 1,168,1073,799002,1.0
Kensington Gardens,DUBAI LAND RESIDENCE COMPLEX,168,1354,1011541,1.0
Azizi Lina,DOWN TOWN JABAL ALI,167,1758,591000,1.0
Evelyn on the Park,AL YELAYISS 2,166,1843,1540888,1.0
Cove Grand Residence by Imtiaz,DUBAI LAND RESIDENCE COMPLEX,166,1508,859318,1.0
Verdana Residence 3,DUBAI INVESTMENT PARK FIRST,166,837,642126,1.0
AZIZI MILAN 51,CITY OF ARABIA,164,1739,591000,1.0
Rise by Athlon 1,WADI AL SAFA 5,164,1654,1723255,1.0
Azizi Milan 9,WADI AL SAFA 4,162,1803,612810,1.0
Grove Ridge,MADINAT AL MATAAR,160,1625,1999888,1.0
Ashwood Estates,ME'AISEM FIRST,160,1959,12730000,0.0
Downtown Residences,BUSINESS BAY,159,2773,2702842,1.0
Vista Ridge,MADINAT AL MATAAR,159,1631,2003888,1.0
Azizi Wares,JABAL ALI INDUSTRIAL SECOND,158,1717,591030,1.0
